Feature,Importance
perimeter_worst,0.14820272950026236
area_worst,0.13294465759434212
concave_points_mean,0.10695865553420998
concave_points_worst,0.10683288538236439
radius_mean,0.06764429721559831
radius_worst,0.06589975499976447
perimeter_mean,0.05107245553378139
concavity_mean,0.043392469272761046
area_mean,0.0388279190571878
concavity_worst,0.03411009242861564
area_se,0.03051004645192901
texture_worst,0.02369693704118031
compactness_mean,0.01676970044104409
texture_mean,0.01571365554936638
compactness_worst,0.014386183971751187
symmetry_worst,0.014176070261520603
radius_se,0.01369672907658401
smoothness_worst,0.012963218546499122
perimeter_se,0.007759627546333393
smoothness_mean,0.006834738562210275
fractal_dimension_worst,0.0062825384741297605
fractal_dimension_se,0.006142505589172979
concavity_se,0.005858296984614862
symmetry_mean,0.005101537413793685
texture_se,0.004649672129998383
compactness_se,0.004180470016472437
smoothness_se,0.004173119645692759
concave_points_se,0.004166122205769087
symmetry_se,0.0036089605243427737
fractal_dimension_mean,0.0034439530487075736
